年份,排名,财富,排名变化,个人信息,企业信息
2002,22,￥ 18 亿,  ,陈顺利先生  40,"中国特种纤维控股
行业：化纤"
2002,23,￥ 18 亿,  ,任运良先生  49,"大连华丰集团
行业：特种设备、塑料管材、辽宁和长春房地产"
2002,23,￥ 18 亿,  ,陈金飞、张斌先生  40、先生  32,"北京通产投资集团
行业：金融、北京房地产、建筑材料"
2002,23,￥ 18 亿,  ,郭浩先生  47,"超大农业集团
行业：有机农业"
2002,26,￥ 17 亿,  ,张跃先生  42,"远大空调集团
行业：中央空调"
2002,27,￥ 16 亿,  ,黄光裕先生  33,"鹏润投资集团
行业：家电零售、北京房地产"
2002,27,￥ 16 亿,  ,翦英海先生  38,"华普产业集团
行业：北京房地产、电子付费系统、零售"
2002,27,￥ 16 亿,  ,李海仓先生  47,"山西海鑫钢铁
行业：钢铁产品"
2002,27,￥ 16 亿,  ,唐万里、唐万新兄弟先生  46、先生  38,"德隆国际战略投资公司
行业：投资"
2002,27,￥ 16 亿,  ,吴良定女士  56,"浙江中宝实业集团
行业：机器和汽车零配件、机械工具、汽车"
2002,32,￥ 16 亿,  ,祝义财先生  38,"南京雨润肉食品
行业：肉制品、房地产"
2002,33,￥ 15 亿,  ,韩国龙先生  47,"冠城集团
行业：北京、杭州、福清房地产"
